pair,signal_time,entry_price,exit_time,exit_price,pnl_pct_net,pnl_dollars,position_dollars,exit_reason,score,shadow_balance_after
VIRTUALUSDT,2026-09-03 01:00:00+00:00,0.6772,2026-09-03 02:30:00+00:00,0.6827869,0.525,63.4,12076.58,Trail-Lock 🔒,0.5327379834081385,36293.15
NEARUSDT,2026-09-03 01:00:00+00:00,1.871,2026-09-03 02:30:00+00:00,1.899065,1.2,145.17,12097.72,TP 🟢,0.531536565286151,36438.32
DUSKUSDT,2026-09-03 01:00:00+00:00,0.0666,2026-09-03 04:00:00+00:00,0.06714945,0.525,63.77,12146.11,Trail-Lock 🔒,0.5234358820457302,36502.09
SOLUSDT,2026-09-03 01:00:00+00:00,99.86,2026-09-03 05:00:00+00:00,100.683845,0.525,63.88,12167.36,Trail-Lock 🔒,0.4977491533231931,36565.96
IMXUSDT,2026-09-03 01:00:00+00:00,0.1237,2026-09-03 05:00:00+00:00,0.12472052500000001,0.525,63.99,12188.65,Trail-Lock 🔒,0.49727537110737174,36629.95
TOWNSUSDT,2026-09-03 01:00:00+00:00,0.00248,2026-09-03 02:30:00+00:00,0.00250046,0.525,64.1,12209.98,Trail-Lock 🔒,0.484030699227306,36694.06
FIDAUSDT,2026-09-03 01:00:00+00:00,0.01846,2026-09-03 04:30:00+00:00,0.018612295,0.525,64.21,12231.35,Trail-Lock 🔒,0.47837355789008845,36758.27
ENJUSDT,2026-09-03 01:00:00+00:00,0.0249,2026-09-03 04:00:00+00:00,0.025105424999999997,0.525,64.33,12252.76,Trail-Lock 🔒,0.4585457579115114,36822.6
FILUSDT,2026-09-03 01:00:00+00:00,0.798,2026-09-03 08:00:00+00:00,0.7851086971076789,-1.9155,-235.11,12274.2,SL 🔴,0.8342116788236792,36587.49
STXUSDT,2026-09-03 01:00:00+00:00,0.2618,2026-09-03 10:30:00+00:00,0.26395985,0.525,64.03,12195.83,Trail-Lock 🔒,0.7475188877083612,36651.52
POLUSDT,2026-09-03 01:00:00+00:00,0.09208,2026-09-03 11:00:00+00:00,0.09283965999999999,0.525,64.14,12217.17,Trail-Lock 🔒,0.5145150316082704,36715.66
SOMIUSDT,2026-09-03 01:00:00+00:00,0.1101,2026-09-03 13:30:00+00:00,0.1104,-0.0275,-3.29,11965.54,Timeout ⏱️,0.8036449459414101,36712.37
LUNAUSDT,2026-09-03 01:00:00+00:00,0.0449,2026-09-03 12:30:00+00:00,0.0455735,1.2,143.84,11986.48,TP 🟢,0.5902771024987986,36856.21
VTHOUSDT,2026-09-03 05:30:00+00:00,0.000389,2026-09-03 11:30:00+00:00,0.000394835,1.2,146.86,12238.55,TP 🟢,0.4996824414863631,37003.07
AIXBTUSDT,2026-09-03 05:30:00+00:00,0.02008,2026-09-03 14:30:00+00:00,0.020381200000000002,1.2,146.86,12238.55,TP 🟢,0.4829626976893815,37149.93
DASHUSDT,2026-09-03 11:00:00+00:00,42.73,2026-09-03 14:00:00+00:00,43.082522499999996,0.525,65.01,12383.31,Trail-Lock 🔒,0.6374859323279092,37214.94
LSKUSDT,2026-09-03 11:00:00+00:00,0.1022,2026-09-03 14:30:00+00:00,0.103733,1.2,148.86,12404.98,TP 🟢,0.5635621346319558,37363.8
IOTAUSDT,2026-09-03 14:30:00+00:00,0.0402,2026-09-03 16:00:00+00:00,0.039798,-1.3,-161.91,12454.6,SL 🔴,0.8495350107748375,37201.89
HOLOUSDT,2026-09-03 14:30:00+00:00,0.0622,2026-09-03 16:00:00+00:00,0.06271315,0.525,65.1,12400.63,Trail-Lock 🔒,0.7574203759293578,37267.0
SHELLUSDT,2026-09-03 14:30:00+00:00,0.0219,2026-09-03 15:30:00+00:00,0.022228499999999998,1.2,149.07,12422.33,TP 🟢,0.7042161545652366,37416.06
EIGENUSDT,2026-09-03 14:30:00+00:00,0.2058,2026-09-03 16:30:00+00:00,0.20749785,0.525,65.48,12472.02,Trail-Lock 🔒,0.7034730457147267,37481.54
ICPUSDT,2026-09-03 14:30:00+00:00,2.512,2026-09-03 15:00:00+00:00,2.532724,0.525,65.59,12493.85,Trail-Lock 🔒,0.5938124672770746,37547.14
AMPUSDT,2026-09-03 14:30:00+00:00,0.000445,2026-09-03 16:00:00+00:00,0.00045167499999999996,1.2,150.19,12515.71,TP 🟢,0.4934301810616274,37697.32
LUNAUSDT,2026-09-03 14:30:00+00:00,0.0455,2026-09-03 15:00:00+00:00,0.045875375,0.525,65.97,12565.77,Trail-Lock 🔒,0.48941962209951795,37763.29
LTCUSDT,2026-09-03 14:30:00+00:00,50.98,2026-09-03 19:30:00+00:00,51.744699999999995,1.2,151.05,12587.76,TP 🟢,0.4652334398940961,37914.35
ALGOUSDT,2026-09-03 14:30:00+00:00,0.093,2026-09-03 20:00:00+00:00,0.09376725,0.525,66.35,12638.12,Trail-Lock 🔒,0.7350064367388264,37980.7
AXLUSDT,2026-09-03 14:30:00+00:00,0.0425,2026-09-04 00:30:00+00:00,0.042850625,0.525,66.47,12660.23,Trail-Lock 🔒,0.5965552118493748,38047.16
SIGNUSDT,2026-09-03 23:00:00+00:00,0.00949,2026-09-04 00:00:00+00:00,0.0095682925,0.525,66.58,12682.39,Trail-Lock 🔒,0.490325689580681,38113.75
EPICUSDT,2026-09-03 14:30:00+00:00,0.3374,2026-09-04 03:00:00+00:00,0.3355,-0.8631,-108.03,12515.71,Timeout ⏱️,0.5004367570940933,38005.72
IMXUSDT,2026-09-03 14:30:00+00:00,0.1263,2026-09-04 01:00:00+00:00,0.125037,-1.3,-164.3,12638.12,SL 🔴,0.7436183830282799,37841.42
RVNUSDT,2026-09-03 18:00:00+00:00,0.0031,2026-09-04 05:30:00+00:00,0.0030689999999999997,-1.3,-164.58,12660.23,SL 🔴,0.4630612773173718,37676.84
BREVUSDT,2026-09-03 14:30:00+00:00,0.0763,2026-09-04 03:00:00+00:00,0.0762,-0.4311,-54.57,12660.23,Timeout ⏱️,0.6775490542024507,37622.27
GMTUSDT,2026-09-03 14:30:00+00:00,0.00738,2026-09-04 03:00:00+00:00,0.00732,-1.113,-140.91,12660.23,Timeout ⏱️,0.6585617196789023,37481.36
2ZUSDT,2026-09-03 14:30:00+00:00,0.05426,2026-09-04 02:00:00+00:00,0.053717400000000005,-1.3,-164.58,12660.23,SL 🔴,0.6012056862187483,37316.78
CFXUSDT,2026-09-03 14:30:00+00:00,0.04793,2026-09-04 03:00:00+00:00,0.04793,-0.3,-37.98,12660.23,Timeout ⏱️,0.7704561964530567,37278.79
IDUSDT,2026-09-03 14:30:00+00:00,0.0317,2026-09-04 01:00:00+00:00,0.031961525,0.525,65.24,12426.26,Trail-Lock 🔒,0.8454978458691073,37344.03
0GUSDT,2026-09-03 18:00:00+00:00,0.185,2026-09-04 02:30:00+00:00,0.187775,1.2,149.38,12448.01,TP 🟢,0.8378590759464761,37493.41
OPUSDT,2026-09-03 14:30:00+00:00,0.0995,2026-09-04 01:30:00+00:00,0.100320875,0.525,65.61,12497.8,Trail-Lock 🔒,0.8363949791704074,37559.02
HIVEUSDT,2026-09-04 00:30:00+00:00,0.0459,2026-09-04 04:30:00+00:00,0.046301473563281695,0.5747,71.95,12519.67,Trail-Lock 🔒,0.8356294970982333,37630.97
SUIUSDT,2026-09-03 14:30:00+00:00,0.7704,2026-09-04 03:00:00+00:00,0.7767558,0.525,65.85,12543.66,Trail-Lock 🔒,0.8335666382603447,37696.82
ARBUSDT,2026-09-04 00:30:00+00:00,0.1413,2026-09-04 01:00:00+00:00,0.137770752033667,-2.7977,-351.55,12565.61,SL 🔴,0.8108174702542705,37345.28
SANDUSDT,2026-09-03 14:30:00+00:00,0.03921,2026-09-04 03:00:00+00:00,0.03921,-0.3,-37.35,12448.43,Timeout ⏱️,0.754411969112943,37307.93
DOTUSDT,2026-09-03 14:30:00+00:00,0.879,2026-09-04 03:00:00+00:00,0.877,-0.5275,-65.6,12435.98,Timeout ⏱️,0.7009349708809373,37242.33
SENTUSDT,2026-09-03 14:30:00+00:00,0.01297,2026-09-04 03:00:00+00:00,0.0130770025,0.525,65.17,12414.11,Trail-Lock 🔒,0.6740877825039496,37307.5
ROSEUSDT,2026-09-03 14:30:00+00:00,0.0063,2026-09-04 02:30:00+00:00,0.0063945,1.2,149.23,12435.83,TP 🟢,0.6435945261177054,37456.73
BICOUSDT,2026-09-04 11:00:00+00:00,0.02236,2026-09-04 12:30:00+00:00,0.022019063213080885,-1.8248,-227.83,12485.58,SL 🔴,0.7539645689728842,37228.9
ACHUSDT,2026-09-04 11:00:00+00:00,0.00521,2026-09-04 12:30:00+00:00,0.00528815,1.2,148.92,12409.63,TP 🟢,0.7294680155869029,37377.81
ARKMUSDT,2026-09-04 11:00:00+00:00,0.1088,2026-09-04 12:30:00+00:00,0.10771199999999999,-1.3,-161.97,12459.27,SL 🔴,0.49379619294233257,37215.84
GLMRUSDT,2026-09-04 17:30:00+00:00,0.006592,2026-09-04 18:00:00+00:00,0.00669088,1.2,148.86,12405.28,TP 🟢,0.8452791224312578,37364.71
ACTUSDT,2026-09-04 17:30:00+00:00,0.01086,2026-09-04 22:00:00+00:00,0.0110229,1.2,149.46,12454.9,TP 🟢,0.7607242120252349,37514.17
LAUSDT,2026-09-05 00:00:00+00:00,0.0681,2026-09-05 02:00:00+00:00,0.0692310925721748,1.3609,170.18,12504.72,TP 🟢,0.8337408892745647,37684.35
NEARUSDT,2026-09-05 00:00:00+00:00,2.197,2026-09-05 03:00:00+00:00,2.2407141313086387,1.6897,212.25,12561.45,TP 🟢,0.8250772129994131,37896.6
STXUSDT,2026-09-05 00:00:00+00:00,0.2641,2026-09-05 02:00:00+00:00,0.2680615,1.2,151.59,12632.2,TP 🟢,0.6574031795370543,38048.19
KITEUSDT,2026-09-05 00:00:00+00:00,0.1356,2026-09-05 01:30:00+00:00,0.134244,-1.3,-164.88,12682.73,SL 🔴,0.5010776487165828,37883.31
ERAUSDT,2026-09-05 00:00:00+00:00,0.0583,2026-09-05 07:00:00+00:00,0.0591745,1.2,152.19,12682.73,TP 🟢,0.6134720961925512,38035.5
TWTUSDT,2026-09-05 00:00:00+00:00,0.6268,2026-09-05 10:30:00+00:00,0.6319711,0.525,66.56,12678.5,Trail-Lock 🔒,0.722277116489993,38102.06
XVGUSDT,2026-09-05 05:00:00+00:00,0.002854,2026-09-05 13:30:00+00:00,0.0029176359035135197,1.9297,245.09,12700.69,TP 🟢,0.817832129897246,38347.15
ACTUSDT,2026-09-05 12:00:00+00:00,0.0112,2026-09-05 13:00:00+00:00,0.011088,-1.3,-166.17,12782.38,SL 🔴,0.516604994064138,38180.98
